term,description
Terzquartakkord (нем. тэрцквартаккорд),терцквартаккорд
"Tessitura (ит. тэсситура), Tessiture (фр. тэсситюр)","тесситура, диапазон"
Testa (ит. тэста),голова; voce di testa (вóчэ ди тэста) - головной регистр голоса
Testudo (лат. тэстудо),1) лира ( в др. Риме); 2) лютня (15- 17 в.)
Tête (фр. тэт),1) завиток колкового ящика; 2) головка флейты
"Tetrachord (нем. тэтрахóрд), Tetrachord (англ. тэтракоод),  Tetrachordum (греч.","лат. тэтрахóрдум), Tétracorde (фр. тэтракóрд),  Tetracordo (ит. тэтракóрдо) - тетрахорд"
Tetralogie (греч.,нем. тэтралоги) - тетралогия (цикл из 4 сценических произведений)
"Theater (нем. тэатэр), Theatre (англ. тсиэтэ), Theatre (фр. тэатр)",театр
Theatre lyrique (тэатр. лирик),музыкальный театр
"Thema (нем. тэма), Theme (фр. тэм), Theme (англ. тсиим)",тема
"Thmatique (фр. тэматик), Thematisch (нем. тэматиш)",тематический
Thematische Arbeit (тэматишэ арбайт),тематич. разработка
Theme large majestueux (фр. тэм лярж мажэстюе),"тему исполнять широко, величественно [Скрябин. «Прометей»]"
"Theorbe (нем. тэóрбэ), Theorbe (фр. тэóрб), Theorbo (англ. тиобоу)",теорба (басовый инструмент из семейства лютен)
Thesis (греч. тэсис),сильная доля такта
Third (англ. тсэд),терция
Third stream (англ. тсэд стриим),"течение в джаз, искусстве 40-50-х гг., стремившееся к синтезу джаз, и классических элементов; буквально третье течение"
Thorough,bass (англ. тсарэ-бэйс) - цифрованный бас
"Threni (лат. трэни), Threnodia (трэнóдиа)",жалобная песнь
Tibia (лат. тибиа),латинское название авлоса
Tie (англ. тай),"лига, указывающая на продолжение длительности ноты"
